date,category,id
1475338124496,poi,mother
1475338134037,entry,3757
1475338137121,poi,father
1475338176063,entry,2615
1475338186745,entry,4025
1475338194995,entry,4013
1475338202928,entry,3574
1475338212948,poi,meryre
1475338227482,entry,4031
1475338235691,entry,1107
1475338244977,entry,4031
1475338251073,entry,3473
1475338264489,entry,558
1475338270587,entry,4013
1475338278662,entry,2008
1475338283272,entry,204
1475338287479,entry,2172
1475338291022,entry,211
1475338295410,entry,4037
1475338303599,entry,211
1475338307163,entry,4037
1475338310429,entry,4013
1475338315959,entry,1579
1475338322830,entry,4028
1475338330193,entry,438
1475338334301,entry,4036
1475338346618,entry,4013
1475338349670,entry,4022
1475338353608,entry,4011
1475338357248,entry,2008
1475338364851,entry,1006
1475338368327,entry,529
1475338376496,entry,2615
1475338379248,entry,2172
1475338382795,entry,4013
1475338387147,entry,4026
1475338394140,entry,211
1475338395751,entry,4025
1475338399946,entry,4026
1475338402748,entry,4025
1475338404690,entry,4026
1475413157566,poi,mother
1475413162099,poi,mother
1475413163527,poi,son1
1475413192658,poi,father
1475413225022,poi,mother
1475413227008,poi,mother
1475413228239,poi,mother
1475413233571,poi,son1
1475413241034,poi,son2
1475413245355,poi,daugther
1475413253617,entry,4020
1475413260819,poi,pepy_2
1475413274963,entry,3474
1475413280634,entry,3757
1475413283486,entry,4028
1475413287712,entry,3473
1475413291269,entry,4021
1475413294177,entry,4020
1475413297637,entry,894
1475413307747,entry,3474
1475413311128,entry,1579
1475413316508,entry,2172
1475413337321,poi,son2
1475413347258,poi,son2
1475413351136,poi,son2
1475413352586,poi,son1
1475413360357,poi,mother
1475413366873,poi,father
1475413386888,poi,daugther
1475413396020,entry,4027
1475413408037,entry,1107
1475413408270,entry,1107
1475413420632,entry,2008
1475413438187,entry,4013
1475413450392,entry,4022
1475413461311,entry,2238
1475413469678,entry,3574
1475413481968,entry,2238
1475413484254,entry,529
1475413500847,entry,2008
1475413502132,entry,4014
1475413502368,entry,4014
1475413504521,entry,2008
1475413514444,entry,3473
1475413886527,entry,1107
1475413899522,entry,4011
1475413908656,entry,1107
1475413909822,entry,4013
1475413912795,entry,2615
1475413915103,entry,4027
1475413918105,entry,4034
1475413929647,entry,4027
1475413930442,poi,min_1
1475413944769,entry,2008
1475413945840,entry,2008
1475413947521,entry,4014
1475413949350,entry,2008
1475413951065,entry,4014
1475413952414,entry,204
1475413957797,entry,1107
1475413959833,entry,4011
1475413961484,entry,4013
1475413962872,entry,2615
1475413964413,entry,4027
1475413965761,poi,min_1
1475413969300,entry,4034
1475413969853,entry,2008
1475413972575,entry,4014
1475413973883,entry,204
1475413981876,poi,father
1475413989141,entry,4031
1475413991513,entry,2615
1475413992327,entry,4013
1475413993100,entry,204
1475413997773,entry,4013
1475413999359,entry,2615
1475414000327,entry,4031
1475414574007,entry,4013
1475414579759,entry,4040
1475414583246,entry,204
1475414592503,entry,4013
1475414608081,poi,meryre
1475414617429,entry,4013
1475414620938,entry,3473
1475414637564,poi,mother
1475414644207,entry,2615
1475414647026,entry,3757
1475414648698,entry,4036
1475414649932,entry,4028
1475414651823,entry,4036
1475414652905,entry,4028
1475414656600,entry,3473
1475414659005,entry,4020
1475414660389,entry,4020
1475414661089,entry,4021
1475414664063,entry,4020
1475414665098,entry,4021
1475414681489,poi,daugther
1475414686947,poi,father
1475414694501,entry,4022
1475415058037,poi,son2
1475415069239,poi,son1
1475415074604,poi,mother
1475415080864,poi,father
1475416406387,poi,daugther
1475416406815,poi,daugther
1475416407749,poi,daugther
1475416410388,poi,daugther
1475416558989,poi,son2
1475416586273,poi,father
1475416628533,entry,4020
1475416636434,entry,3757
1475416642114,entry,1006
1475416646941,entry,2008
1475416654394,entry,3574
1475416660575,entry,4022
1475416667973,entry,4031
1475416672035,entry,2172
1475416679398,entry,4037
1475416682206,entry,4013
1475416685493,entry,2615
1475416688649,entry,2008
1475416691359,entry,4034
1475416694962,poi,min_3
1475416698822,entry,4014
1475416702078,entry,4025
1475416704618,entry,211
